City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
560,560,Niquero,CU,20.04,-77.58,85.98,66,17,14.0,few clouds,0.0,0,
561,561,Nalhati,IN,24.3,87.82,83.64,80,100,6.69,light rain,0.0,0,JEEVAN DARSHN
563,563,Aksu,CN,41.12,80.26,70.92,37,33,3.47,scattered clouds,0.0,0,Pudong Holiday Hotel
567,567,Kahului,US,20.89,-156.47,82.99,83,14,8.01,few clouds,0.0,0,Maui Seaside Hotel
568,568,Abeche,TD,13.83,20.83,78.33,67,100,11.34,overcast clouds,0.0,0,Assaleh Hamdan Haroune
569,569,Jamame,SO,0.07,42.75,76.48,84,46,9.44,scattered clouds,0.0,0,
571,571,Udgir,IN,18.38,77.12,73.69,90,100,7.61,overcast clouds,0.0,0,SPOT ON 66526 Archana Lodge
573,573,Malakal,SS,9.53,31.66,75.88,75,90,3.22,overcast clouds,0.0,0,Nile Palace Hotel
574,574,Qiongshan,CN,20.01,110.35,82.4,78,100,8.95,overcast clouds,0.0,0,Sun City Restaurant
575,575,Dawei,MM,14.08,98.2,77.94,88,100,1.54,light rain,0.0,0,Hotel Dawei
